연번,시설명,위치,규모,홀수,운영기관,연락처,latitude,longitude
1,강변파크골프장(A, B구장),대구광역시 북구 서변동 1506번지,11400㎡,18홀,대구광역시 도시관리본부 체육시설관리부,053-803-8324,35.9175,128.5999
2,강변파크골프장(C구장),대구광역시 북구 서변동 1506번지,5700㎡,9홀,대구광역시 도시관리본부 체육시설관리부,053-803-8324,35.9180,128.6005
3,강변파크골프장(D구장),대구광역시 북구 서변동 1506번지,5300㎡,9홀,대구광역시 도시관리본부 체육시설관리부,053-803-8324,35.9185,128.6010
4,강변파크골프장(E구장),대구광역시 북구 서변동 1506번지,9650㎡,9홀,대구광역시 도시관리본부 체육시설관리부,053-803-8324,35.9190,128.6015
5,비산파크골프장,대구광역시 서구 비산동 2920번지,9304㎡,18홀,대구광역시 도시관리본부 체육시설관리부,053-803-8324,35.8678,128.5456
6,불로파크골프장,대구광역시 동구 불로동 939번지,28139㎡,27홀,대구광역시 도시관리본부 체육시설관리부,053-803-8324,35.8989,128.6834
