연번,시설명,위치,규모,홀수,운영기관,연락처,latitude,longitude
1,거창스포츠파크 파크골프장 1구장,경상남도 거창군 거창읍 심소정길 39-36,17000㎡,18홀,경상남도 거창군 체육시설사업소,055-940-8720,35.69513581,127.9263505
2,거창스포츠파크 파크골프장 2구장,경상남도 거창군 거창읍 심소정길 39-36,10898㎡,18홀,경상남도 거창군 체육시설사업소,055-940-8720,35.69513581,127.9263505
3,거창스포츠파크 파크골프장 3구장,경상남도 거창군 거창읍 대평리 12,4600㎡,9홀,경상남도 거창군 체육시설사업소,055-940-8720,35.68319653,127.9388087
4,주상면 파크골프장,경상남도 거창군 주상면 도평리 1225,3462㎡,9홀,경상남도 거창군 주상면사무소,055-940-7636,35.74620046,127.9138714
5,웅양면 파크골프장,경상남도 거창군 웅양면 산포리 산261-20,11038㎡,18홀,경상남도 거창군 웅양면사무소,055-940-7410,35.82779957,127.9283349
6,고제면 파크골프장,경상남도 거창군 고제면 봉계리 525,15004㎡,9홀,경상남도 거창군 고제면사무소,055-940-7463,35.8796172,127.8721858
7,위천면 파크골프장,경상남도 거창군 위천면 상천리 527-5,7486㎡,9홀,경상남도 거창군 위천면사무소,055-940-7563,35.73898811,127.8191472
8,가조면 파크골프장,경상남도 거창군 가조면 일부리 1060-3,17159㎡,9홀,경상남도 거창군 가조면사무소,055-940-7812,35.70178082,128.0210598
9,가북면 파크골프장,경상남도 거창군 가북면 몽석리 1177-1,7400㎡,9홀,경상남도 거창군 가북면사무소,055-940-7863,35.79223188,128.0139547
