연번,시설명,위치,규모,홀수,개장,운영기관,연락처,latitude,longitude
1,장수파크골프장,남동구 장수동 산132-6(장수배수지 부지),9127,18,2015,인천광역시 장애인체육회,032-425-9924,37.4234,126.7345
2,선학파크골프장,연수구 경원대로 526(선학경기장 내),18518,9,2017,인천광역시체육회,032-821-5721,37.4123,126.6789
3,공촌유수지체육시설파크골프장,서구 청라동 6-23(공촌유수지 내),22500,18,2017,인천시설공단,032-473-8307,37.5234,126.6234
4,송도파크골프장,연수구 송도동 1번지 일원(달빛공원 내),23376,18,2021,인천시설공단,032-456-5501,37.3886,126.6624
