연번,시설명,위치,규모,홀수,운영기관,연락처,latitude,longitude
1,금강파크골프장,세종특별자치시 세종동 747-212,43000㎡,36홀,세종특별자치시,044-301-3334,36.4816,127.2890
2,한솔파크골프장,세종특별자치시 가람동 765,9590㎡,9홀,세종특별자치시,044-301-3334,36.5034,127.2567
3,오가낭뜰파크골프장,세종특별자치시 아름동 804,11760㎡,9홀,세종특별자치시,044-301-3334,36.4923,127.2678
4,부강파크골프장,세종특별자치시 부강면 금호리 823-3,21799㎡,18홀,세종특별자치시,044-301-3334,36.5234,127.3123
5,중앙공원파크골프장,세종특별자치시 세종동 1204,12910㎡,9홀,세종시설관리공단,044-850-4343,36.4789,127.2834
6,수질복원센터B파크골프장,세종특별자치시 대평동 646,11000㎡,9홀,세종특별자치시,044-301-3115,36.4645,127.2756
7,조천변 파크골프장,세종특별자치시 조치원읍 평리 120,7814㎡,9홀,세종특별자치시,044-304-5172,36.5567,127.2945
